id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
538,"Lewandowski, Marcelo Néstor",Santa Fe,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/538.gif,,,,Unión por la Patria,Primera Minoría,1,32,0.0,66,26,125,44.71
594,"Moreno, Elia Esther del Carmen",Santiago del Estero,Frente Cívico por Santiago,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/594.gif,,,,Frente Cívico por Santiago,Mayoría,0,0,,0,0,0,0.0
510,"Neder, José Emilio",Santiago del Estero,Frente Fuerza Patria Peronista,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/510.gif,,,,Unión por la Patria,Primera Minoría,1,1,0.0,75,48,125,59.62
450,"Zamora, Gerardo",Santiago del Estero,Frente Cívico por Santiago,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/450.gif,,,,Frente Cívico por Santiago,Mayoría,1,5,0.0,74,45,125,57.69
595,"Coto, Agustín Pedro","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/595.gif,,,,La Libertad Avanza,Mayoría,0,0,,0,0,0,0.0
574,"López, Cándida Cristina","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza Frente de Todos,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/574.gif,,,,Unión por la Patria,Primera Minoría,0,4,0.0,88,33,125,58.17
596,"Monte de Oca, María Belén","Tierra del Fuego, Antártida e Islas del Atlántico Sur",Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/596.gif,,,,La Libertad Avanza,Mayoría,0,0,,0,0,0,0.0
541,"Avila, Beatriz Luisa",Tucumán,Juntos por el Cambio,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/541.gif,,,,Unión Cívica Radical,Primera Minoría,0,0,,0,0,0,0.0
576,"Manzur, Juan Luis",Tucumán,Alianza Frente de Todos,"{'fin': '2029-12-09', 'inicio': '2023-12-09'}","{'fin': None, 'inicio': '2023-12-09'}",,,https://api.argentinadatos.com/static/senado/senadores/576.gif,,,,Unión por la Patria,Mayoría,1,1,0.0,75,48,125,59.62
540,"Mendoza, Sandra Mariela",Tucumán,Frente de Todos,"{'fin': '2027-12-09', 'inicio': '2021-12-10'}","{'fin': None, 'inicio': '2021-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/540.gif,,,,Unión por la Patria,Mayoría,0,0,0.0,40,85,125,60.1
